"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,5.75033297462459,12.759342337164
2,5.92352896587546,13.8127256176785
3,6.03153065618617,13.8725871258432
4,5.90811704899174,13.9801382214582
5,5.94482332073298,14.180936919328
6,5.93809450148802,14.2799096299117
7,5.96475888011046,14.3093817543867
8,6.00083572933231,14.3648958414073
9,5.99619759152732,14.397876486771
10,5.99621008835471,14.4153875855436
11,5.98523644398155,14.4366060472652
12,5.98605367527661,14.4498898383313
13,,
14,,
15,,
